date,total_active_users,total_engaged_users
2025-01-22,158,131
2025-01-23,160,137
2025-01-24,56,42
2025-01-25,9,6
2025-01-26,11,6
2025-01-27,5,5
2025-01-28,175,142
2025-01-29,204,178
2025-01-30,198,159
2025-01-31,175,143
2025-02-01,9,9
2025-02-02,6,6
2025-02-03,187,154
2025-02-04,198,159
2025-02-05,190,155
2025-02-06,188,161
2025-02-07,173,144
2025-02-08,19,16
2025-02-09,10,8
2025-02-10,202,166
2025-02-11,224,184
2025-02-12,234,215
2025-02-13,218,189
2025-02-14,183,155
2025-02-15,17,14
2025-02-16,6,6
2025-02-17,173,147
