date,total_chat,total_engaged_users,total_chat_copy_events,total_chat_insertion_events,chat_per_user,chat_acceptance_rate
2025-01-23,1440,70,321,15,20.571428571428573,0.2333333333333333
2025-01-24,280,21,157,4,13.333333333333334,0.575
2025-01-25,104,5,47,0,20.8,0.4519230769230769
2025-01-26,54,4,21,0,13.5,0.3888888888888889
2025-01-27,3,2,1,0,1.5,0.3333333333333333
2025-01-28,801,69,144,15,11.608695652173912,0.198501872659176
2025-01-29,1488,80,507,38,18.6,0.36626344086021506
2025-01-30,1597,80,322,16,19.9625,0.2116468378209142
2025-01-31,1242,68,225,22,18.264705882352942,0.19887278582930756
2025-02-01,118,5,9,0,23.6,0.07627118644067797
2025-02-02,42,2,0,0,21.0,0.0
2025-02-03,1322,74,301,29,17.864864864864863,0.24962178517397882
2025-02-04,968,70,399,29,13.82857142857143,0.44214876033057854
2025-02-05,753,75,145,3,10.04,0.19654714475431606
2025-02-06,863,73,204,9,11.821917808219178,0.24681344148319814
2025-02-07,734,71,223,13,10.338028169014084,0.3215258855585831
2025-02-08,120,10,35,0,12.0,0.2916666666666667
2025-02-09,67,6,15,5,11.166666666666666,0.29850746268656714
2025-02-10,1058,85,319,26,12.447058823529412,0.32608695652173914
2025-02-11,1140,94,252,32,12.127659574468085,0.24912280701754386
2025-02-12,1517,109,369,63,13.917431192660551,0.28477257745550427
2025-02-13,1158,94,290,46,12.319148936170214,0.29015544041450775
2025-02-14,1021,70,243,20,14.585714285714285,0.257590597453477
2025-02-15,117,9,13,13,13.0,0.2222222222222222
2025-02-16,101,3,3,13,33.666666666666664,0.15841584158415842
2025-02-17,929,69,291,32,13.46376811594203,0.34768568353067814
2025-02-18,1132,93,339,35,12.172043010752688,0.3303886925795053
2025-02-19,1285,101,343,40,12.722772277227723,0.2980544747081712
2025-02-20,1024,91,393,50,11.252747252747254,0.4326171875
2025-02-21,958,80,228,13,11.975,0.25156576200417535
2025-02-22,68,5,24,0,13.6,0.35294117647058826
2025-02-23,121,8,57,0,15.125,0.47107438016528924
2025-02-24,966,83,250,34,11.63855421686747,0.2939958592132505
